parent,definition,children,translation,label
partial veil,membrane of the young sporophore of various mushrooms extending from the margin of the cap to the stem and is ruptured by growth; represented in mature mushroom by an annulus around the stem and sometimes a cortina on the margin of the cap,cortina,,-1
explosive device,-,mine,,-1
labor contract,contract between labor and management governing wages and benefits and working conditions,yellow-dog contract,,-1
advancement,gradual improvement or growth or development,"forwarding,stride,work flow",,-1
wedding present,a present given to someone getting married,bride-gift,,-1
administration,a method of tending to or managing the affairs of a some group of people (especially the group's business affairs),"conducting,line management,polity",,-1
heathen,-,idolater,,-1
Muslim,-,Muslimah,,-1
fence lizard,spiny lizard often seen basking on fences in the United States and northern Mexico,"western fence lizard,eastern fence lizard",,-1
spiral galaxy,a galaxy having a spiral structure; arms containing younger stars spiral out from old stars at the center,Andromeda galaxy,,-1
polymorphism,(biology) the existence of two or more forms of individuals within the same animal species (independent of sex differences),dimorphism,,-1
body weight,the weight of a person's body,reporting weight,,-1
free press,a press not restricted or controlled by government censorship regarding politics or ideology,gutter press,,-1
repellent,a chemical substance that repels animals,insectifuge,,-1
aromatic hydrocarbon,a hydrocarbon that contains one or more benzene rings that are characteristic of the benzene series of organic compounds,benzene,,-1
tanager,any of numerous New World woodland birds having brightly colored males,"scarlet tanager,hepatic tanager,western tanager,summer tanager",,-1
gastric artery,the arteries that supply the walls of the stomach,short gastric artery,,-1
plastic bag,a bag made of thin plastic material,bin liner,,-1
insecticide,-,organophosphate,,-1
enjoyment,the pleasure felt when having a good time,joie de vivre,,-1
mechanical system,a system of elements that interact on mechanical principles,"production line,lubricating system,fuel injection",,-1
bagel,(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust,onion bagel,,-1
skate,large edible rays having a long snout and thick tail with pectoral fins continuous with the head; swim by undulating the edges of the pectoral fins,"barndoor skate,grey skate,little skate,thorny skate",,-1
assistant,a person who contributes to the fulfillment of a need or furtherance of an effort or purpose,"dresser,bat boy,labor coach,instrument,right-hand man,coadjutor,dental assistant,hatchet man,event planner,facilitator,flower girl,girl Friday,powder monkey,prompter,sidesman,underboss,water boy,whipper-in",,-1
structural member,-,upright,,-1
life jacket,life preserver consisting of a sleeveless jacket of buoyant or inflatable design,Mae West,,-1
lesbianism,female homosexuality,tribadism,,-1
enthusiast,-,sports fan,,-1
open-end wrench,a wrench having parallel jaws at fixed separation (often on both ends of the handle),S wrench,,-1
atomic clock,a timepiece that derives its time scale from the vibration of atoms or molecules,ammonia clock,,-1
photojournalism,journalism that presents a story primarily through the use of pictures,news photography,,-1
version,an interpretation of a matter from a particular viewpoint,approximation,,-1
protective garment,-,pressure suit,,-1
position,(in team sports) the role assigned to an individual player,"catcher,center,center,center field,cleanup,first base,forward,goalkeeper,guard,left field,mid-off,mid-on,pitcher,right field,second base,shortstop,third base",,-1
sorrow,an emotion of great sadness associated with loss or bereavement,"broken heart,self-pity",,-1
Tajikistani monetary unit,monetary unit in Tajikistan,ruble,,-1
Russian agency,an administrative agency of the Russian government,Committee for State Security,,-1
vanilla,any of numerous climbing plants of the genus Vanilla having fleshy leaves and clusters of large waxy highly fragrant white or green or topaz flowers,vanilla orchid,,-1
aldehyde,any of a class of highly reactive chemical compounds; used in making resins and dyes and organic acids,"acetaldehyde,propenal,paraldehyde,formaldehyde,furfural,glyceraldehyde,propanal",,-1
tarsier,nocturnal arboreal primate of Indonesia and the Philippines having huge eyes and digits ending in pads to facilitate climbing; the only primate that spurns all plant material as food living entirely on insects and small vertebrates,"Tarsius glis,Tarsius syrichta",,-1
reptile,-,synapsid,,-1
electric heater,a small electric space heater,heat lamp,,-1
sedge,-,spike rush,,-1
support,a military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission,close support,,-1
quartet,four people considered as a unit,quadrumvirate,,-1
translation,a written communication in a second language having the same meaning as the written communication in a first language,"subtitle,pony",,-1
tartaric acid,an acid found in many fruits; used in soft drinks and confectionery and baking powder,racemic acid,,-1
paper,a material made of cellulose pulp derived mainly from wood or rags or certain grasses,"art paper,blotting paper,blueprint paper,carbon paper,cartridge paper,computer paper,confetti,construction paper,crepe,filter paper,flypaper,graph paper,greaseproof paper,india paper,linen,litmus paper,manifold paper,manila,music paper,newspaper,oilpaper,papier-mache,paper tape,paper toweling,papyrus,parchment,rice paper,roofing paper,ticker tape,tracing paper,wallpaper,waste paper,wax paper",,-1
generalization,(psychology) transfer of a response learned to one stimulus to a similar stimulus,irradiation,,-1
viverrine,-,mongoose,,-1
"ketone body,hydroxybutyric acid","a ketone that is an intermediate product of the breakdown of fats in the body; any of three compounds (acetoacetic acid, acetone, and/or beta-hydroxybutyric acid) found in excess in blood and urine of persons with metabolic disorders",beta-hydroxybutyric acid,,-1
pace,the relative speed of progress or change,"beat,sluggishness",,-1
duplicate,a copy that corresponds to an original exactly,"backup,counterpart,match",,-1
proper fraction,a fraction with a numerator smaller than the denominator,decimal fraction,,-1
predecessor,one who precedes you in time (as in holding a position or office),forefather,,-1
utility routine,a routine that can be used as needed,"dump routine,input routine,output routine",,-1
thread,-,cotton,,-1
packing,the enclosure of something in a package or box,bundling,,-1
campaign,several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints),expedition,,-1
vespertilian bat,-,long-eared bat,,-1
pewee,small olive-colored woodland flycatchers of eastern North America,western wood pewee,,-1
candied fruit,-,candied citrus peel,,-1
furnace,-,kiln,,-1
strap,an elongated leather strip (or a strip of similar material) for binding things together or holding something in position,"bootstrap,cheekpiece,chin strap,crupper,latchet,noseband,strop",,-1
crash,the act of colliding with something,impingement,,-1
insulin,hormone secreted by the isles of Langerhans in the pancreas; regulates storage of glycogen in the liver and accelerates oxidation of sugar in cells,"recombinant human insulin,Lente Insulin",,-1
change of location,-,translation,,-1
dancing,-,social dancing,,-1
opinion,a personal belief or judgment that is not founded on proof or certainty,"eyes,idea,preconception,pole,politics",,-1
Saxon,a member of a Germanic people who conquered England and merged with the Angles and Jutes to become Anglo-Saxons; dominant in England until the Norman Conquest,West Saxon,,-1
"coagulation factor,calcium",any of the factors in the blood whose actions are essential for blood coagulation,calcium ion,,-1
larva,-,grub,,-1
sweet pickle,pickle cured in brine and preserved in sugar and vinegar,bread and butter pickle,,-1
traffic control,control of the flow of traffic in a building or a city,point duty,,-1
partial veil,membrane of the young sporophore of various mushrooms extending from the margin of the cap to the stem and is ruptured by growth; represented in mature mushroom by an annulus around the stem and sometimes a cortina on the margin of the cap,cortina,,-1
pocket rat,-,pocket mouse,,-1
acquiring,-,occupation,,-1
"land,biome",the solid part of the earth's surface,forest,,-1
certificate,-,diploma,,-1
statistics,-,correlation,,-1
admonition,cautionary advice about something imminent (especially imminent danger or other unpleasantness),example,,-1
appellate court,a court whose jurisdiction is to review decisions of lower courts or agencies,circuit court of appeals,,-1
moment,a turning force produced by an object acting at a distance (or a measure of that force),"moment of a couple,moment of inertia",,-1
heteropterous insect,-,water bug,,-1
electrolyte,a solution that conducts electricity,polyelectrolyte,,-1
master,an authority qualified to teach apprentices,past master,,-1
ice-skater,someone who engages in ice skating,speedskater,,-1
warder,a person who works in a prison and is in charge of prisoners,wardress,,-1
quarter day,a Christian holy day; one of four specified days when certain payments are due,"Martinmas,Annunciation,Lammas,Candlemas",,-1
Moroccan monetary unit,monetary unit in Morocco,Moroccan dirham,,-1
romance,a novel dealing with idealized events remote from everyday life,"bodice ripper,Gothic romance",,-1
law enforcement agency,-,police,,-1
blasphemer,a person who speaks disrespectfully of sacred things,swearer,,-1
El Salvadoran monetary unit,monetary unit in El Salvador,colon,,-1
pardoner,a medieval cleric who raised money for the church by selling papal indulgences,absolver,,-1
footprint,a mark of a foot or shoe on a surface,footprint evidence,,-1
radial asymmetry,the absence of symmetry about an axis,directivity,,-1
incaution,-,imprudence,,-1
test rocket,a rocket fired for test purposes,sounding rocket,,-1
indignation,a feeling of righteous anger,dudgeon,,-1
safety belt,belt attaching you to some object as a restraint in order to prevent you from getting hurt,seat belt,,-1
methane series,-,methane,,-1
minor tranquilizer,-,benzodiazepine,,-1
opening,becoming open or being made open,cut,,-1
fecal matter,-,droppings,,-1
tower,-,watchtower,,-1
anatomist,an expert in anatomy,"comparative anatomist,histologist,osteologist",,-1
mechanical device,mechanism consisting of a device that works on mechanical principles,"record changer,ski binding,broadcaster,bumper,bumper guard,carburetor,copyholder,curler,dicer,electromechanical device,escapement,gearshift,grab,pantograph,tone arm,piston,ratchet,seeder,shutter,splicer,splint,sprinkler,stator,stoker,stretcher,trap,voting machine,windshield wiper",,-1
treasurer,an officer charged with receiving and disbursing funds,"bursar,chamberlain,state treasurer",,-1
pastry,any of various baked foods made of dough or batter,"baklava,patty shell,dowdy,frangipane,pie crust,profiterole,rugulah,sausage roll,streusel,strudel,timbale,toad-in-the-hole,vol-au-vent",,-1
instrument of punishment,-,switch,,-1
formality,a manner that strictly observes all forms and ceremonies,"ceremoniousness,stateliness",,-1
wig,hairpiece covering the head and made of real or synthetic hair,grizzle,,-1
longing,prolonged unfulfilled desire or need,"hankering,wishfulness,wistfulness",,-1
Aramaic,a Semitic language originally of the ancient Arameans but still spoken by other people in southwestern Asia,Assyrian Neo-Aramaic,,-1
edge,the outside limit of an object or area or surface; a place farthest away from the center of something,"molding,hem,luff,wayside,selvage",,-1
punctuation,the use of certain marks to clarify meaning of written material by grouping words grammatically into sentences and clauses and phrases,hyphenation,,-1
truthfulness,-,sincerity,,-1
social anthropologist,an anthropologist who studies such cultural phenomena as kinship systems,ritualist,,-1
armored vehicle,-,tank,,-1
dress uniform,a military uniform worn on formal occasions,dress blues,,-1
adhesive material,-,paste,,-1
church officer,-,elder,,-1
outdoor game,-,golf,,-1
cross-fertilization,fertilization by the union of male and female gametes from different individual of the same species,allogamy,,-1
wedding present,a present given to someone getting married,bride-gift,,-1
generalization,(psychology) transfer of a response learned to one stimulus to a similar stimulus,irradiation,,-1
rookery,a breeding ground for gregarious birds (such as rooks),heronry,,-1
array,especially fine or decorative clothing,war paint,,-1
seamount,an underwater mountain rising above the ocean floor,guyot,,-1
visual impairment,-,scotoma,,-1
compromise verdict,a verdict resulting from improper compromises between jurors on material issues,quotient verdict,,-1
butter,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use,"brown butter,Meuniere butter,stick,yak butter",,-1
print,a picture or design printed from an engraving,"contact print,copperplate,gravure,linocut,mezzotint,overprint,silkscreen",,-1
spouse,-,polygamist,,-1
exposure,presentation to view in an open or public manner,repudiation,,-1
pericarp,-,stone,,-1
pessimist,a person who expects the worst,defeatist,,-1
catalyst,(chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected,"biocatalyst,platinum black",,-1
rocking chair,a chair mounted on rockers,"Boston rocker,platform rocker,shoofly",,-1
turning,a movement in a new direction,"return,reversal,yaw,volution",,-1
eating,-,dining,,-1
approval,acceptance as satisfactory,appro,,-1
playgoer,someone who attends the theater,"first-nighter,groundling",,-1
layer,thin structure composed of a single thickness of cells,blastoderm,,-1
weaponry,-,naval weaponry,,-1
flywheel,regulator consisting of a heavy wheel that stores kinetic energy and smooths the operation of a reciprocating engine,fluid flywheel,,-1
crane,large long-necked wading bird of marshes and plains in many parts of the world,whooping crane,,-1
political unit,-,union,,-1
importance,a prominent status,primacy,,-1
food,anything that provides mental stimulus for thinking,pabulum,,-1
bulge,something that bulges out or is protuberant or projects from its surroundings,"belly,caput,frontal eminence,mogul",,-1
body weight,the weight of a person's body,reporting weight,,-1
flush,a sudden rapid flow (as of water),springtide,,-1
area,the extent of a 2-dimensional surface enclosed within a boundary,"acreage,balk,erasure,footprint,space",,-1
swelling,-,tumidity,,-1
contraction,(physiology) a shortening or tensing of a part or organ (especially of a muscle or muscle fiber),"Braxton-Hicks contraction,contracture",,-1
owl,-,scops owl,,-1
lotion,any of various cosmetic preparations that are applied to the skin,"body lotion,hand lotion,toner",,-1
payer,-,taxpayer,,-1
legislature,-,senate,,-1
endocarditis,inflammation of the endocardium and heart valves,subacute bacterial endocarditis,,-1
endlessness,the property of being (or seeming to be) without end,continuousness,,-1
reversion,"(law) an interest in an estate that reverts to the grantor (or his heirs) at the end of some period (e.g., the death of the grantee)",escheat,,-1
"adjective,adverb",a word that expresses an attribute of something,positive,,-1
Old World jay,a European jay,common European jay,,-1
conciliator,someone who tries to bring peace,appeaser,,-1
nursery,a child's room for a baby,day nursery,,-1
Greek deity,-,Grace,,-1
Finnish monetary unit,monetary unit in Finland,"markka,penni",,-1
flower,the period of greatest prosperity or productivity,golden age,,-1
Volgaic,a group of Finnic languages spoken around the Volga river,Cheremis,,-1
spelling,forming words with letters according to the principles underlying accepted usage,misspelling,,-1
sanction,formal and explicit approval,nihil obstat,,-1
monstera,any plant of the genus Monstera; often grown as houseplants,ceriman,,-1
sorter,a machine for sorting things (such as punched cards or letters) into classes,mailsorter,,-1
claret,dry red Bordeaux or Bordeaux-like wine,Saint Emilion,,-1
toy dog,-,toy spaniel,,-1
scale insect,-,soft scale,,-1
"aldehyde,plant product",any of a class of highly reactive chemical compounds; used in making resins and dyes and organic acids,furfural,,-1
"band,elastic device",a thin flat strip of flexible material that is worn around the body or one of the limbs (especially to decorate the body),rubber band,,-1
caladium,any plant of the genus Caladium cultivated for their ornamental foliage variously patterned in white or pink or red,Caladium bicolor,,-1
filter,an electrical device that alters the frequency spectrum of signals passing through it,"high-pass filter,low-pass filter",,-1
captor,-,kidnapper,,-1
aortitis,inflammation of the aorta,rheumatic aortitis,,-1
memorial,a recognition of meritorious service,"epitaph,festschrift",,-1
thrombosis,the formation or presence of a thrombus (a clot of coagulated blood attached at the site of its formation) in a blood vessel,"milk leg,phlebothrombosis",,-1
Chemakuan,a group of Mosan languages spoken in Washington,Chemakum,,-1
temper,a disposition to exhibit uncontrolled anger,querulousness,,-1
order of the day,the order of business for an assembly on a given day,order paper,,-1
equine,-,zebra,,-1
stronghold,-,bastion,,-1
heterocyclic compound,a compound containing a heterocyclic ring,chelate,,-1
rite,-,vigil,,-1
promontory,a natural elevation (especially a rocky one that juts out into the sea),"mull,point",,-1
tumor,-,malignant tumor,,-1
article,one of a class of artifacts,"breakable,knickknack",,-1
cognitive psychology,an approach to psychology that emphasizes internal mental processes,memory,,-1
high status,-,precedence,,-1
stew,food prepared by stewing especially meat or fish with vegetables,"beef stew,bigos,Brunswick stew,burgoo,purloo,hot pot,hotchpotch,mulligan stew,Irish stew,lobscouse,lobster stew,olla podrida,oyster stew,pot-au-feu,pottage,ratatouille,slumgullion",,-1
admonition,cautionary advice about something imminent (especially imminent danger or other unpleasantness),example,,-1
swan,-,tundra swan,,-1
mooring,(nautical) a line that holds an object (especially a boat) in place,headfast,,-1
unorthodoxy,any opinions or doctrines at variance with the official or orthodox position,iconoclasm,,-1
jungle fowl,small Asiatic wild bird; believed to be ancestral to domestic fowl,red jungle fowl,,-1
miterwort,any of various rhizomatous perennial herbs of the genus Mitella having a capsule resembling a bishop's miter,fairy cup,,-1
aircraft landing,-,forced landing,,-1
freight car,-,boxcar,,-1
support,a military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission,close support,,-1
barge,a flatbottom boat for carrying heavy loads (especially on canals),"dredger,houseboat",,-1
purpose,an anticipated outcome that is intended or that guides your planned actions,"cross-purpose,final cause,mind,sake,view,will",,-1
malaria,an infective disease caused by sporozoan parasites that are transmitted through the bite of an infected Anopheles mosquito; marked by paroxysms of chills and fever,"blackwater fever,jungle fever",,-1
importance,the quality of being important and worthy of note,"account,big deal,greatness,momentousness,prominence,weight",,-1
"cleaning implement,pad",any of a large class of implements used for cleaning,cleaning pad,,-1
organ,a periodical that is published by a special interest group,house organ,,-1
parturiency,concluding state of pregnancy; from the onset of contractions to the birth of a child,premature labor,,-1
nucleoside reverse transcriptase inhibitor,an antiviral drug used against HIV; is incorporated into the DNA of the virus and stops the building process; results in incomplete DNA that cannot create a new virus; often used in combination with other drugs,lamivudine,,-1
plane,a carpenter's hand tool with an adjustable blade for smoothing or shaping wood,"beading plane,block plane,bullnose,chamfer plane,circular plane,combination plane,dovetail plane,fore plane,jack plane,jointer,match plane,router plane,scrub plane,smooth plane,spokeshave",,-1
leverage,strategic advantage; power to act effectively,bargaining chip,,-1
riot,a public act of violence by an unruly mob,race riot,,-1
dyskinesia,abnormality in performing voluntary muscle movements,tardive dyskinesia,,-1
free press,a press not restricted or controlled by government censorship regarding politics or ideology,gutter press,,-1
scope,an area in which something acts or operates or has power or control:,"approximate range,confines,contrast,sweep,gamut",,-1
instinct,inborn pattern of behavior often responsive to specific stimuli,id,,-1
susceptibility,-,sensitivity,,-1
utensil,-,kitchen utensil,,-1
degree,a unit of temperature on a specified scale,degree Fahrenheit,,-1
shade,relative darkness caused by light rays being intercepted by an opaque body,shadow,,-1
meat loaf,a baked loaf of ground meat,fish loaf,,-1
index,a numerical scale used to compare variables with one another or with some reference number,margin of safety,,-1
funeral,a ceremony at which a dead person is buried or cremated,"burial,sky burial",,-1
instability,the quality or attribute of being unstable and irresolute,shakiness,,-1
serviceman,-,military officer,,-1
gadoid,-,hake,,-1
candida,any of the yeastlike imperfect fungi of the genus Candida,Candida albicans,,-1
respiratory disease,-,pneumonia,,-1
firework,-,firecracker,,-1
eagle,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,"bald eagle,tawny eagle,eaglet,harpy",,-1
camera,-,digital camera,,-1
biomedicine,the branch of medical science that studies the ability of organisms to withstand environmental stress (as in space travel),aeromedicine,,-1
creditor,a person to whom money is owed by a debtor; someone to whom an obligation exists,mortgagee,,-1
world power,a state powerful enough to influence events throughout the world,hegemon,,-1
border,a strip forming the outer edge of something,"selvage,verge",,-1
nutriment,-,vitamin,,-1
white magic,magic used only for good purposes,theurgy,,-1
diffraction grating,optical device consisting of a surface with many parallel grooves in it; disperses a beam of light (or other electromagnetic radiation) into its wavelengths to produce its spectrum,echelon,,-1
consumer goods,-,grocery,,-1
ballet position,classical position of the body and especially the feet in ballet,arabesque,,-1
cracking,the process whereby heavy molecules of naphtha or petroleum are broken down into hydrocarbons of lower molecular weight (especially in the oil-refining process),hydrocracking,,-1
mystic,someone who believes in the existence of realities beyond human comprehension,quietist,,-1
literary study,-,poetics,,-1
synthetic resin,-,vinyl polymer,,-1
holocephalan,fish with high compressed head and a body tapering off into a long tail,chimaera,,-1
viral infection,-,hemorrhagic fever,,-1
denial,the act of asserting that something alleged is not true,negation,,-1
congestion,excessive accumulation of blood or other fluid in a body part,"hemothorax,hydrothorax,pulmonary congestion,stuffiness",,-1
asterid dicot family,family of more or less advanced dicotyledonous herbs and some trees and shrubs,"Acanthaceae,Ambrosiaceae,Compositae,Avicenniaceae,Caprifoliaceae,Dipsacaceae,Gesneriaceae,Hydrophyllaceae,Polemoniaceae,Rubiaceae,Scrophulariaceae,Solanaceae,Valerianaceae,Verbenaceae",,-1
sociology,-,criminology,,-1
hydrometer,a measuring instrument for determining the specific gravity of a liquid or solid,salinometer,,-1
principle,a rule or law concerning a natural phenomenon or the function of a complex system,"Gresham's Law,principle of superposition,Occam's Razor,Le Chatelier's principle,mass-action principle,mass-energy equivalence,Naegele's rule,principle of equivalence,principle of liquid displacement,principle of superposition",,-1
male child,-,Scout,,-1
endomorph,a heavy person with a soft and rounded body,pudge,,-1
pipit,a songbird that lives mainly on the ground in open country; has streaky brown plumage,meadow pipit,,-1
family,an association of people who share common beliefs or activities,koinonia,,-1
pustule,a small inflamed elevation of skin containing pus; a blister filled with pus,pock,,-1
crate,a rugged box (usually made of wood); used for shipping,"packing box,soapbox",,-1
entree,the right to enter,door,,-1
delivery,the act of delivering or distributing something (as goods or mail),"airdrop,consignment,post,service",,-1
candida,any of the yeastlike imperfect fungi of the genus Candida,Candida albicans,,-1
pliers,a gripping hand tool with two hinged arms and (usually) serrated jaws,"locking pliers,needlenose pliers",,-1
calyculus,a small cup-shaped structure (as a taste bud or optic cup or cavity of a coral containing a polyp),optic cup,,-1
fog,an atmosphere in which visibility is reduced because of a cloud of some substance,fug,,-1
antihypertensive,-,ACE inhibitor,,-1
conductance unit,a measure of a material's ability to conduct an electrical charge,mho,,-1
woodpecker,-,sapsucker,,-1
enzyme,any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions,"adenosine deaminase,penicillinase,catalase,cholinesterase,rennin,collagenase,complement,de-iodinase,decarboxylase,elastase,enterokinase,histaminase,hyaluronidase,isomerase,kinase,lipase,lysozyme,monoamine oxidase,nitrogenase,papain,pepsin,pepsinogen,phosphatase,secretase,superoxide dismutase,streptodornase,streptokinase,telomerase,urease,zymase",,-1
silver,a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography,coin silver,,-1
murderer,-,serial killer,,-1
utility,a company that performs a public service; subject to government regulation,"bus company,power company",,-1
military officer,-,naval officer,,-1
plastic surgery,-,lipectomy,,-1
hedge,a fence formed by a row of closely planted shrubs or bushes,privet hedge,,-1
onion roll,yeast-raised roll flavored with onion,bialy,,-1
noise,sound of any kind (especially unintelligible or dissonant sound),"banging,bark,blare,boom,hubbub,chatter,chatter,chug,clack,clang,clatter,crack,creak,crunch,ding-dong,explosion,hiss,grate,grinding,rumble,grunt,hum,pant,plonk,plop,plump,racket,report,rhonchus,rustle,scrape,screech,scrunch,shrilling,sizzle,slam,snap,snore,spatter,squawk,squeak,squish,stridulation,swoosh",,-1
radiance,the amount of electromagnetic radiation leaving or arriving at a point on a surface,aureole,,-1
denudation,the removal of covering,"cornhusking,deforestation",,-1
quarryman,-,breaker,,-1
explosion,a violent release of energy caused by a chemical or nuclear reaction,"airburst,backfire,big bang,fragmentation,inflation",,-1
self-pollination,fertilization by transfer of pollen from the anthers to the stigma of the same flower,cleistogamy,Клейстогамия,-1
gonadotropin,hormone secreted by the anterior pituitary gland and placenta; stimulates the gonads and controls reproductive activity,"follicle-stimulating hormone,human chorionic gonadotropin,luteinizing hormone,prolactin","фолликулостимулирующий гормон,хорионический гонадотропин человека,лютеинизирующий гормон,пролактин",-1
sugar,-,granulated sugar,сахарный песок,-1
mixture,-,suspension,суспензией,-1
rail technology,the activity of designing and constructing and operating railroads,magnetic levitation,магнитная левитация,-1
